1;Deutsch;German;Allemand;Tedesco
2;Französisch;French;Français;Francese
3;Englisch;English;Anglais;Inglese
4;Italienisch;Italian;Italien;Italiano
5;Albanisch;Albanian;Albanais;Albanese
6;Chinesisch;Chinese;Chinois;Cinese
7;Dänisch;Danish;Danois;Danese
8;Griechisch;Greek;Grec;Greco
9;Finnisch;Finnish;Finois;Finlandese
10;Holländisch;Dutch;Hollandais;Olandese
11;Indisch;Indian;Indou;Indiano
12;Japanisch;Japanese;Japonais;Giapponese
13;Mazedonisch;Macedonian;Macédonien;Macedone
14;Norwegisch;Norwegian;Norvégien;Norvegese
15;Portugiesisch;Portuguese;Portugais;Portoghese
16;Rätoromanisch;Rhaeto-romanic;Rhétoromanche;Retroromanzo
17;Russisch;Russian;Russe;Russo
18;Schwedisch;Swedish;Suédois;Svedese
19;Serbisch/Kroatisch;Serbian/Croatian;Serbo/croate;Serbo/croato
20;Spanisch;Spanish;Espagnol;Spagnolo
21;Türkisch;Turkish;Turque;Turco
22;Andere Sprachen;Other languages;Autres langues;Altre lingue